"Sample.name"	"Sample.GMme2"	"Sex"	"Biosample.ID"	"Population.code"	"Population.name"	"Superpopulation.code"	"Superpopulation.name"	"Population.elastic.ID"	"Data.collections"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"
"HG00308"	"HG00308"	"male"	"SAME124161"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Geuvadis"	"HG00308"	-0.046083	0.022014	0.0953159	-0.000129646	0.00281607	-0.0250287	-0.00897654	0.0226865	0.00528025	0.0175373
"HG00309"	"HG00309"	"female"	"SAME124160"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00309"	-0.0465608	0.0348611	0.11707	0.0011642	-0.00635114	-0.00822175	-0.0224071	0.0123663	0.0133862	0.0136448
"HG00310"	"HG00310"	"male"	"SAME124338"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00310"	-0.0450799	0.0165003	0.0482513	0.00323846	0.00135907	0.00613441	0.00449217	-0.0159986	0.00713493	-0.00529059
"HG00311"	"HG00311"	"male"	"SAME124339"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00311"	-0.0466555	0.0218887	0.0792283	0.00822163	0.00419411	-0.00641018	0.0135915	-0.0237668	-0.00332885	-0.00478152
"HG00313"	"HG00313"	"female"	"SAME124337"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00313"	-0.0467067	0.0170132	0.0830489	-0.00544498	0.0127843	-0.00224115	-0.00373687	0.0144049	-0.00947876	0.00436327
"HG00315"	"HG00315"	"female"	"SAME124335"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00315"	-0.0453529	0.0320462	0.129569	-0.000927735	-0.00619941	-0.00840138	-0.00874161	0.0065479	0.00535713	0.00341649
"HG00319"	"HG00319"	"female"	"SAME124334"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00319"	-0.0462914	0.0196541	0.075408	-0.00302548	-0.00398038	-0.00234992	-0.00279353	0.0115933	0.00064312	0.00202606
"HG00320"	"HG00320"	"female"	"SAME123797"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00320"	-0.0463137	0.0201842	0.0688283	-0.0101561	0.00959094	0.00818647	0.00174997	-0.00679249	-0.0145898	0.00410854
"HG00321"	"HG00321"	"male"	"SAME123796"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00321"	-0.0461318	0.0237999	0.0990405	0.00364367	-0.0092845	-0.00863465	0.00721999	-0.01021	0.006575	-0.0127
"HG00323"	"HG00323"	"female"	"SAME123795"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00323"	-0.0469713	0.0281658	0.102703	-0.00704398	-0.00807385	-0.0112239	0.0109895	-0.00291316	-0.00812985	0.0013383
"HG00325"	"HG00325"	"male"	"SAME123793"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00325"	-0.0469614	0.0364313	0.117726	-0.00157097	0.00535809	-0.00995922	-0.0146843	-0.0085408	-0.00570313	-0.00819679
"HG00327"	"HG00327"	"female"	"SAME123791"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00327"	-0.0471827	0.0354477	0.082931	-0.00122562	-0.00458486	0.0151538	-0.00835106	-0.00413295	-0.0100022	0.00538975
"HG00329"	"HG00329"	"male"	"SAME123798"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00329"	-0.0464621	0.0278499	0.0955604	-0.00320425	-0.00908413	-0.00297498	-0.0130945	0.0314524	-0.0118675	0.0129843
"HG00332"	"HG00332"	"female"	"SAME123987"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00332"	-0.0467215	0.0151292	0.0520065	-0.00843055	-0.00112711	-0.0141172	0.00518158	0.00584031	0.0130576	-0.00682196
"HG00335"	"HG00335"	"male"	"SAME123982"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00335"	-0.047145	0.0304037	0.13251	0.00938947	0.0146445	-0.0105064	-0.0216206	0.00945468	0.00189565	0.0123708
"HG00336"	"HG00336"	"male"	"SAME123983"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00336"	-0.0472945	0.0206846	0.0890563	-0.00305271	0.00575091	0.00583232	-0.00675	-1.20569e-05	-0.00829307	0.0119238
"HG00337"	"HG00337"	"female"	"SAME123984"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00337"	-0.0453384	0.0185265	0.0880574	-0.00829123	-0.0158628	0.00176538	-0.020314	0.00773253	0.019323	0.0100272
"HG00338"	"HG00338"	"male"	"SAME123990"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00338"	-0.0460942	0.0119206	0.0409767	0.00777791	0.00623003	-0.0145052	-0.0155349	-0.015569	0.00926069	0.0199264
"HG00339"	"HG00339"	"female"	"SAME123991"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00339"	-0.0454055	0.0161975	0.0738256	0.00499503	-0.012857	-0.0275208	0.0144881	-0.00152951	-0.0201128	0.0101442
"HG00341"	"HG00341"	"male"	"SAME124922"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00341"	-0.044641	0.0241576	0.070536	0.00511471	-0.00178078	-0.0140877	0.0062581	-0.0022288	-0.00826806	-0.0114762
"HG00343"	"HG00343"	"female"	"SAME124923"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00343"	-0.0458871	0.0148563	0.0811873	-0.00892357	0.0026628	-0.000450573	0.0152176	0.00951445	-0.00098133	-0.00802998
"HG00344"	"HG00344"	"female"	"SAME125255"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00344"	-0.0479486	0.0129575	0.0405578	-0.000863331	-0.00647779	0.0078068	0.00101494	-0.0299014	-0.0100258	-0.00959263
"HG00350"	"HG00350"	"female"	"SAME125121"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00350"	-0.0453677	0.00769411	0.0358506	-0.00326733	-0.00143416	-0.00507632	0.00436818	-0.00322278	-0.00159359	0.0285424
"HG00351"	"HG00351"	"male"	"SAME125122"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00351"	-0.0466135	0.0257206	0.0868449	-0.0053997	0.00558364	0.0126752	0.00600299	-0.00294715	-0.019259	-0.00343224
"HG00357"	"HG00357"	"female"	"SAME125124"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"	"HG00357"	-0.0469501	0.021424	0.0739362	-1.2603e-05	0.00285016	-0.00758249	0.00318555	-0.0156706	-0.0239981	0.013185
"HG00358"	"HG00358"	"male"	"SAME125126"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00358"	-0.0484482	0.0310846	0.112203	0.00131342	-0.0132734	-0.0155226	0.0138194	0.00640212	-0.0217485	-0.034493
"HG00360"	"HG00360"	"male"	"SAME124539"	"FIN"	"Finnish,Finnish"	"EUR"	"European Ancestry,West Eurasia (SGDP)"	"FIN,FinnishSGDP"	"1000 Genomes on GRCh38,Simons Genome Diversity Project,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00360"	-0.0476836	0.0119154	0.0575658	0.00546178	0.00462673	-0.00663657	0.0130027	-0.00706223	-0.00117274	-0.0101092
"HG00361"	"HG00361"	"female"	"SAME124538"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00361"	-0.0460711	0.0326024	0.108959	-0.00535942	0.00797319	0.00126152	0.00246318	0.00885453	0.00461774	-0.00663213
"HG00364"	"HG00364"	"female"	"SAME124543"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00364"	-0.0470664	0.0283954	0.0850395	0.00453223	0.00362912	-0.0086302	-0.0126356	-0.0010618	0.017867	-0.00288565
"HG00365"	"HG00365"	"female"	"SAME124542"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00365"	-0.0451789	0.0307048	0.111807	-0.00652254	0.00235458	-0.0135542	0.00863565	0.0302353	0.0273718	0.00296253
"HG00366"	"HG00366"	"male"	"SAME124541"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00366"	-0.0452246	0.0273255	0.120295	0.000282665	0.00457411	-0.00190234	-0.00206447	0.00433714	0.00965335	-0.0108372
"HG00367"	"HG00367"	"female"	"SAME124540"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00367"	-0.046043	0.0206105	0.0771299	-0.00944454	-0.00763903	-0.0127283	0.0129778	0.00181876	0.0124575	-0.0172555
"HG00368"	"HG00368"	"female"	"SAME124535"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"	"HG00368"	-0.0464238	0.0360729	0.101559	-0.00134016	0.0164707	-0.00452877	-0.0145689	-0.00728344	0.0138426	0.00586611
"HG00369"	"HG00369"	"male"	"SAME124534"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00369"	-0.0466228	0.016391	0.111718	-0.00365714	2.01099e-05	0.0155377	-0.00536649	0.0114996	-0.0275963	0.00571055
"HG00372"	"HG00372"	"male"	"SAME124748"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00372"	-0.0478608	0.0242807	0.0760764	-0.0102062	0.00377194	-0.0188484	-0.00690566	-0.00107714	0.000874554	0.00997258
"HG00373"	"HG00373"	"female"	"SAME124749"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00373"	-0.0462992	0.0243864	0.119154	-0.013274	-0.0140282	-0.0124292	0.0164099	-0.00569912	0.0011755	-0.02284
"HG00376"	"HG00376"	"female"	"SAME124751"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00376"	-0.0474932	0.0325119	0.0940178	0.00258498	0.00416548	0.0159936	0.000251523	-0.0190939	-0.0205434	-0.00975664
"HG00378"	"HG00378"	"female"	"SAME124745"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00378"	-0.0466122	0.026995	0.116959	0.0173331	0.00274547	-0.012163	-7.28456e-05	0.0063462	0.0182025	-0.0127097
"HG00380"	"HG00380"	"female"	"SAME123031"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00380"	-0.0469297	0.0125982	0.0595709	-0.000123228	-0.00300532	-0.00304882	-0.0192005	0.00640444	0.00694111	0.000959483
"HG00381"	"HG00381"	"female"	"SAME123030"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00381"	-0.0471822	0.0188258	0.08622	-0.00117458	0.0079307	-0.0261477	-0.00989058	0.0107891	0.00640444	0.0193366
"HG00382"	"HG00382"	"male"	"SAME123033"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00382"	-0.045391	0.0250746	0.118791	-7.41746e-05	0.0122495	0.00196409	0.00319486	-0.0103307	-0.00815661	0.0164179
"HG00383"	"HG00383"	"female"	"SAME123032"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00383"	-0.0467665	0.0239723	0.0993981	-0.0121325	-0.0067525	0.00032244	-0.0019737	0.00825879	0.00542824	0.0166625
"HG00384"	"HG00384"	"female"	"SAME123034"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00384"	-0.0465549	0.0197246	0.0883111	0.00194068	0.00525111	-0.0190526	-0.0266135	0.00266373	0.0122474	-0.0166515
"HG01500"	"HG01500"	"male"	"SAME124941"	"IBS"	"Iberian"	"EUR"	"European Ancestry"	"IBS"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"	"HG01500"	-0.0421427	-0.00297796	-0.0574395	-0.00136323	0.0194403	-0.00280672	-0.00334707	-0.00666728	-0.0120743	-0.0137129
"HG01504"	"HG01504"	"female"	"SAME124945"	"IBS"	"Iberian,Spanish"	"EUR"	"European Ancestry,West Eurasia (SGDP)"	"IBS,SpanishSGDP"	"1000 Genomes on GRCh38,Simons Genome Diversity Project,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"	"HG01504"	-0.044675	-0.00870819	-0.0295	0.00882928	0.00663397	-0.00271013	0.00123967	-0.0199696	-0.00344412	-0.0196584
"HG01511"	"HG01511"	"female"	"SAME124770"	"IBS"	"Iberian"	"EUR"	"European Ancestry"	"IBS"	"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"	"HG01511"	-0.0423395	-0.0175875	-0.0555238	-0.00939484	-0.00712642	-0.00732127	0.0174368	0.0162931	-0.0247034	-0.00820584
"HG01512"	"HG01512"	"male"	"SAME124769"	"IBS"	"Iberian"	"EUR"	"European Ancestry"	"IBS"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"	"HG01512"	-0.0455506	-0.0210389	-0.0618536	0.00293495	-0.00176322	-0.00947871	-0.000199087	0.0135695	0.0122326	0.0147808
"HG01519"	"HG01519"	"female"	"SAME124765"	"IBS"	"Iberian"	"EUR"	"European Ancestry"	"IBS"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"	"HG01519"	-0.0465886	-0.00289882	-0.0527238	0.00401603	-0.0163377	0.011444	-0.0167897	-0.0146719	-0.00291493	0.00343436
"HG01523"	"HG01523"	"male"	"SAME125322"	"IBS"	"Iberian"	"EUR"	"European Ancestry"	"IBS"	"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"	"HG01523"	-0.0468411	-0.00991103	-0.059846	-0.00301612	0.0057419	0.00341268	0.00152095	-0.00168972	-0.00420153	-0.000121202
"HG01526"	"HG01526"	"male"	"SAME125325"	"IBS"	"Iberian"	"EUR"	"European Ancestry"	"IBS"	"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"	"HG01526"	-0.0449386	-0.0126268	-0.0638523	0.00586515	-0.00691974	0.00844758	-0.00292851	0.0156421	-0.00494927	-0.0191015
"HG01529"	"HG01529"	"male"	"SAME125330"	"IBS"	"Iberian"	"EUR"	"European Ancestry"	"IBS"	"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"	"HG01529"	-0.0429326	-0.0130264	-0.0433728	0.00321464	-0.00135746	-0.0167016	0.0114103	-0.00277554	0.00582496	-0.00460321
"HG01536"	"HG01536"	"male"	"SAME125135"	"IBS"	"Iberian"	"EUR"	"European Ancestry"	"IBS"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"	"HG01536"	-0.0437345	-0.0105487	-0.0304211	0.000308434	-0.00747351	-0.016608	0.00332746	-0.00187127	-0.0108812	-0.00591297
"HG01605"	"HG01605"	"female"	"SAME123459"	"IBS"	"Iberian"	"EUR"	"European Ancestry"	"IBS"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"	"HG01605"	-0.0471561	-0.0109697	-0.0650035	0.0105335	-0.000470059	0.0109189	4.07621e-05	-0.0147469	0.00446205	-0.00477893
"HG01608"	"HG01608"	"male"	"SAME123462"	"IBS"	"Iberian"	"EUR"	"European Ancestry"	"IBS"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"	"HG01608"	-0.0439837	-0.0081208	-0.0486421	0.00639937	0.00755777	0.0119093	0.0241047	-0.0134867	-0.00140723	-0.0201807
"HG01611"	"HG01611"	"male"	"SAME123624"	"IBS"	"Iberian"	"EUR"	"European Ancestry"	"IBS"	"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"	"HG01611"	-0.0446271	-0.00283853	-0.0394823	-0.013267	-0.00860659	-0.00243126	-0.0051486	0.011282	0.00258585	0.00113345
"HG01614"	"HG01614"	"female"	"SAME123627"	"IBS"	"Iberian"	"EUR"	"European Ancestry"	"IBS"	"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"	"HG01614"	-0.0447369	-0.02368	-0.0792087	-0.000961953	0.0130053	-0.0012727	0.0126416	-0.0171087	0.000899224	0.0139292
"HG01616"	"HG01616"	"female"	"SAME123629"	"IBS"	"Iberian"	"EUR"	"European Ancestry"	"IBS"	"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"	"HG01616"	-0.0456804	-0.00874558	-0.0498588	0.000259175	-0.00428056	-0.0113051	-0.000747163	0.00670169	-0.028152	-0.00232073
"HG01620"	"HG01620"	"female"	"SAME123844"	"IBS"	"Iberian"	"EUR"	"European Ancestry"	"IBS"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"	"HG01620"	-0.044078	-0.00712331	-0.0591864	0.00143915	0.00665932	-0.00582636	0.0143236	-0.0135607	0.00982431	-0.00628836
"HG01622"	"HG01622"	"female"	"SAME123846"	"IBS"	"Iberian"	"EUR"	"European Ancestry"	"IBS"	"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"	"HG01622"	-0.045968	-0.0189876	-0.054542	-0.0116429	0.011423	-0.00671129	-0.00390958	0.00818652	0.00677557	0.00235672
"HG01625"	"HG01625"	"male"	"SAME123839"	"IBS"	"Iberian"	"EUR"	"European Ancestry"	"IBS"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"	"HG01625"	-0.0458324	-0.0244384	-0.065058	0.000676102	-0.00479732	0.00217152	-0.0130326	-0.0217743	-0.0164965	-0.0109576
"HG01633"	"HG01633"	"male"	"SAME124033"	"IBS"	"Iberian"	"EUR"	"European Ancestry"	"IBS"	"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"	"HG01633"	-0.0457874	-0.0179777	-0.0739748	0.00840326	-0.00230348	-0.00450431	0.0249687	0.0231084	0.0253661	0.00506523
"HG01669"	"HG01669"	"male"	"SAME123110"	"IBS"	"Iberian"	"EUR"	"European Ancestry"	"IBS"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"	"HG01669"	-0.0405463	-0.0128083	-0.0270273	0.00430762	-0.0204326	-0.0448687	0.00136968	0.0067281	0.0102225	0.0104287
"HG01674"	"HG01674"	"male"	"SAME123286"	"IBS"	"Iberian"	"EUR"	"European Ancestry"	"IBS"	"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"	"HG01674"	-0.0453399	-0.0177297	-0.0583041	0.00226622	-0.00485871	0.00144221	0.00188241	0.00487145	0.00857763	-0.00312226
"HG01678"	"HG01678"	"male"	"SAME123292"	"IBS"	"Iberian"	"EUR"	"European Ancestry"	"IBS"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"	"HG01678"	-0.0452764	-0.000356737	-0.0134461	0.000567624	-0.00453197	0.00590554	0.030867	-0.00258738	-0.0197842	0.0219232
"HG01681"	"HG01681"	"female"	"SAME124655"	"IBS"	"Iberian"	"EUR"	"European Ancestry"	"IBS"	"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"	"HG01681"	-0.0440078	-0.0111192	-0.0443182	0.0052062	-0.00245122	-0.00789947	0.0126263	0.00320229	-0.0158878	0.022868
"HG01683"	"HG01683"	"male"	"SAME124653"	"IBS"	"Iberian"	"EUR"	"European Ancestry"	"IBS"	"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"	"HG01683"	-0.0454067	-0.00872451	-0.0489126	0.00541789	-0.00156168	0.000714381	-0.0111384	-0.00362115	0.00716203	0.0166253
"HG01695"	"HG01695"	"female"	"SAME124845"	"IBS"	"Iberian"	"EUR"	"European Ancestry"	"IBS"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"	"HG01695"	-0.0421628	-0.0166369	-0.0513354	0.00521224	-0.00515249	-0.00936019	0.0192214	0.000259531	-0.0113697	-0.0170488
"HG01697"	"HG01697"	"female"	"SAME1839223"	"IBS"	"Iberian"	"EUR"	"European Ancestry"	"IBS"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"	"HG01697"	-0.0411261	-0.00459594	-0.0441288	-0.014497	0.00462244	0.0250457	-0.0313967	0.0103382	0.0163603	0.00645314
"HG01700"	"HG01700"	"male"	"SAME123261"	"IBS"	"Iberian"	"EUR"	"European Ancestry"	"IBS"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"	"HG01700"	-0.0457895	-0.00560291	-0.0282265	0.00456435	0.00293819	0.00348666	0.00517812	0.00856346	0.0198806	0.00369221
"HG01703"	"HG01703"	"male"	"SAME123260"	"IBS"	"Iberian"	"EUR"	"European Ancestry"	"IBS"	"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"	"HG01703"	-0.0429868	-0.0122624	-0.0634543	-0.0102816	0.00400143	-0.00530564	0.0169512	-0.00225411	0.00195241	-0.00298238
"HG01706"	"HG01706"	"female"	"SAME123263"	"IBS"	"Iberian"	"EUR"	"European Ancestry"	"IBS"	"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"	"HG01706"	-0.0410889	-0.0235456	-0.0720988	0.011161	0.00864751	0.00425718	-0.00480518	-0.00721217	-0.0150172	-0.0132104
"HG01761"	"HG01761"	"male"	"SAME124810"	"IBS"	"Iberian"	"EUR"	"European Ancestry"	"IBS"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"	"HG01761"	-0.0461217	-0.0192657	-0.074958	-0.00489202	-0.0109729	0.00188512	0.00537813	0.00819752	0.00410906	-0.00250636
"HG01765"	"HG01765"	"male"	"SAME1839681"	"IBS"	"Iberian"	"EUR"	"European Ancestry"	"IBS"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"	"HG01765"	-0.0442254	-0.0197544	-0.0468521	0.00874556	-0.00567508	-0.0171452	0.00187989	-0.0151501	-0.0181056	-0.0158315
