"V5"	"id"	"sig"	"V4"	"V1"	"V2"	"V3"	"med_fst"	"outlier"	"sig2"
"C2orf49"	4544	0	"ENSG00000135974"	"chr2"	105337359	105349211	0.0971606485714286	0	0
"C2orf68"	7426	12	"ENSG00000168887"	"chr2"	85606654	85612066	0.109392925545455	0	1
"C2orf69"	8241	0	"ENSG00000178074"	"chr2"	199911256	199955935	0.0742845961538462	0	0
"C2orf76"	8840	10	"ENSG00000186132"	"chr2"	119302225	119366828	0.0555342990227273	0	1
"C2orf88"	8936	12	"ENSG00000187699"	"chr2"	189879609	190203484	0.132711568421053	0	1
"C3orf14"	2790	12	"ENSG00000114405"	"chr3"	62318973	62336213	0.0794743333333333	0	1
"C3orf38"	8311	0	"ENSG00000179021"	"chr3"	88149743	88168729	0.177819754090909	0	0
"C3orf58"	8470	0	"ENSG00000181744"	"chr3"	143971798	144048719	0.238311954716981	0	0
"C3orf62"	8980	0	"ENSG00000188315"	"chr3"	49268602	49277909	0.0572063453333333	0	0
"C4orf3"	6801	0	"ENSG00000164096"	"chr4"	119296419	119304445	0.0706717596555556	0	0
"C4orf33"	5830	12	"ENSG00000151470"	"chr4"	129093317	129116640	0.184757678823529	0	1
"C4orf36"	6705	0	"ENSG00000163633"	"chr4"	86876205	86936202	0.1649543	0	0
"C4orf46"	9632	0	"ENSG00000205208"	"chr4"	158666679	158672255	0.23166	0	0
"C4orf48"	9954	0	"ENSG00000243449"	"chr4"	2041993	2043970	0.132374330769231	0	0
"C5orf15"	2734	0	"ENSG00000113583"	"chr5"	133955502	133968787	0.078755222	0	0
"C5orf22"	1034	10	"ENSG00000082213"	"chr5"	31532266	31555058	0.104832774518519	0	1
"C5orf24"	8483	0	"ENSG00000181904"	"chr5"	134845680	134859737	0.12858344	0	0
"C5orf30"	8471	0	"ENSG00000181751"	"chr5"	103258702	103278660	0.114352317272727	0	0
"C5orf34"	7784	0	"ENSG00000172244"	"chr5"	43486701	43515145	0.117647657894737	0	0
"C5orf42"	9266	0	"ENSG00000197603"	"chr5"	37106228	37249428	0.107923959384615	0	0
"C5orf51"	9663	0	"ENSG00000205765"	"chr5"	41904188	41921636	0.12840717	0	0
"C5orf56"	9256	0	"ENSG00000197536"	"chr5"	132410636	132488702	0.174535745384615	0	0
"C5orf63"	6831	0	"ENSG00000164241"	"chr5"	127042558	127073492	0.173791112142857	0	0
"C6orf106"	9164	0	"ENSG00000196821"	"chr6"	34587288	34696859	0.1426220575	0	0
"C6orf120"	8737	0	"ENSG00000185127"	"chr6"	169702190	169704856	0.0818157809090909	0	0
"C6orf136"	9594	0	"ENSG00000204564"	"chr6"	30647039	30653210	0.0676524639125	0	0
"C6orf203"	3982	0	"ENSG00000130349"	"chr6"	107028213	107051342	0.1001436484	0	0
"C6orf223"	8462	0	"ENSG00000181577"	"chr6"	44000580	44005958	0.108079773170732	0	0
"C6orf226"	9810	12	"ENSG00000221821"	"chr6"	42890265	42890816	0.151891396296296	0	1
"C6orf47"	9578	0	"ENSG00000204439"	"chr6"	31658298	31660772	0.10351049625	0	0
"C6orf48"	9567	0	"ENSG00000204387"	"chr6"	31834608	31839766	0.0798974293333333	0	0
"C6orf62"	2642	8	"ENSG00000112308"	"chr6"	24704861	24720836	0.0634286505185185	0	1
"C6orf89"	9413	12	"ENSG00000198663"	"chr6"	36871870	36928964	0.067199314	0	1
"C7orf26"	5535	8	"ENSG00000146576"	"chr7"	6590017	6608726	0.10911455726087	0	1
"C7orf31"	5972	8	"ENSG00000153790"	"chr7"	25134697	25180356	0.158895869875	0	1
"C7orf43"	5547	0	"ENSG00000146826"	"chr7"	100154420	100158715	0.0493986736363636	0	0
"C7orf49"	3448	12	"ENSG00000122783"	"chr7"	135092363	135170795	0.068619665	0	1
"C7orf50"	5534	0	"ENSG00000146540"	"chr7"	996986	1138260	0.19441004046875	0	0
"C8orf33"	8516	8	"ENSG00000182307"	"chr8"	145052378	145056030	0.0865358779166667	0	1
"C8orf37"	6111	8	"ENSG00000156172"	"chr8"	95244919	95269201	0.02203177285	0	1
"C8orf44"	9734	0	"ENSG00000213865"	"chr8"	66667615	66685564	0.267240804285714	1	0
"C8orf58"	9932	8	"ENSG00000241852"	"chr8"	22599601	22604150	0.106465451052632	0	1
"C8orf59"	8141	0	"ENSG00000176731"	"chr8"	85214076	85220421	0.0494563544444444	0	0
"C8orf76"	9062	0	"ENSG00000189376"	"chr8"	123219957	123241398	0.196402627272727	0	0
"C8orf82"	9716	12	"ENSG00000213563"	"chr8"	144525733	144529132	0.169005857619048	0	1
"C9orf16"	7673	8	"ENSG00000171159"	"chr9"	128160260	128163928	0.139543053473684	0	1
"C9orf3"	5634	8	"ENSG00000148120"	"chr9"	94726701	95087218	0.147249964	0	1
"C9orf40"	4420	0	"ENSG00000135045"	"chr9"	74946581	74952886	0.0803242461538461	0	0
"C9orf64"	6941	9	"ENSG00000165118"	"chr9"	83938311	83956986	0.122280381666667	0	1
"C9orf72"	5624	0	"ENSG00000147894"	"chr9"	27546545	27573866	0.0726902785714286	0	0
"C9orf78"	4644	0	"ENSG00000136819"	"chr9"	129827290	129835863	0.15409128375	0	0
"C9orf85"	6078	0	"ENSG00000155621"	"chr9"	71911510	71986054	0.144631883333333	0	0
"CA2"	1917	0	"ENSG00000104267"	"chr8"	85463852	85481493	0.0853034785714286	0	0
"CAAP1"	3278	0	"ENSG00000120159"	"chr9"	26840685	26892804	0.103542643783784	0	0
"CAB39"	4535	12	"ENSG00000135932"	"chr2"	230712845	230821075	0.196504855555556	0	1
"CAB39L"	1771	0	"ENSG00000102547"	"chr13"	49308650	49444126	0.136342672777778	0	0
"CABIN1"	1425	0	"ENSG00000099991"	"chr22"	24011192	24178628	0.102670862	0	0
"CABLES1"	4372	0	"ENSG00000134508"	"chr18"	23134564	23260467	0.110645098333333	0	0
"CABLES2"	5752	0	"ENSG00000149679"	"chr20"	62388632	62407285	0.104895427131579	0	0
"CACFD1"	6400	8	"ENSG00000160325"	"chr9"	133459965	133470848	0.0516251709090909	0	1
"CACNA1A"	5157	10	"ENSG00000141837"	"chr19"	13206442	13633025	0.0131021600666667	0	1
"CACNA1D"	6193	0	"ENSG00000157388"	"chr3"	53328963	53813733	0.11033508	0	0
"CACNA1E"	9354	12	"ENSG00000198216"	"chr1"	181413102	181808084	0.0679990757931035	0	1
"CACNB1"	678	0	"ENSG00000067191"	"chr17"	39173456	39197703	0.127787859	0	0
"CACNB2"	7038	12	"ENSG00000165995"	"chr10"	18140677	18541869	0.0494572136551724	0	1
"CACNB4"	8527	0	"ENSG00000182389"	"chr2"	151832768	152099475	0.091442132	0	0
"CACTIN"	2034	0	"ENSG00000105298"	"chr19"	3610641	3626815	0.115798264783784	0	0
"CACUL1"	5864	8	"ENSG00000151893"	"chr10"	118674167	118755249	0.0806912680357143	0	1
"CACYBP"	2960	12	"ENSG00000116161"	"chr1"	174999163	175011715	0.146477614285714	0	1
"CAD"	1093	0	"ENSG00000084774"	"chr2"	27217390	27243943	0.0412150151304348	0	0
"CADM1"	8567	0	"ENSG00000182985"	"chr11"	115169218	115504957	0.01344335	0	0
"CALCOCO1"	206	0	"ENSG00000012822"	"chr12"	53708517	53727745	0.0687389961111111	0	0
"CALCOCO2"	4597	8	"ENSG00000136436"	"chr17"	48830988	48866522	0.169807905875	0	1
"CALHM2"	4820	12	"ENSG00000138172"	"chr10"	103446786	103452402	0.142688595	0	1
"CALM1"	9414	12	"ENSG00000198668"	"chr14"	90396502	90408261	0.112432688709677	0	1
"CALM2"	5343	12	"ENSG00000143933"	"chr2"	47160082	47176601	0.0789673658	0	1
"CALM3"	6356	0	"ENSG00000160014"	"chr19"	46601074	46610793	0.064052017625	0	0
"CALR"	8326	12	"ENSG00000179218"	"chr19"	12938578	12944489	0.16849085	0	1
"CALU"	3867	0	"ENSG00000128595"	"chr7"	128739292	128771807	0.12144985312	0	0
"CAMK1D"	8575	0	"ENSG00000183049"	"chr10"	12349482	12835545	0.132327028970588	0	0
"CAMK2D"	5445	8	"ENSG00000145349"	"chr4"	113451032	113761927	0.161442723076923	0	1
"CAMK2G"	5677	0	"ENSG00000148660"	"chr10"	73812501	73874591	0.1537977	0	0
"CAMK4"	5908	12	"ENSG00000152495"	"chr5"	111223653	111494886	0.0749722082352941	0	1
"CAMKK2"	2506	12	"ENSG00000110931"	"chr12"	121237691	121298308	0.16269325	0	1
"CAMKMT"	5341	0	"ENSG00000143919"	"chr2"	44361950	44772592	0.102123522631579	0	0
"CAMLG"	6880	0	"ENSG00000164615"	"chr5"	134738501	134752160	0.105884425	0	0
"CAMSAP1"	4001	0	"ENSG00000130559"	"chr9"	135808487	135907228	0.141041635	0	0
"CAMSAP2"	3127	0	"ENSG00000118200"	"chr1"	200739558	200860704	0.0469978128571429	0	0
"CAMTA1"	7733	12	"ENSG00000171735"	"chr1"	6785324	7769706	0.043862267288125	0	1
"CAMTA2"	2318	0	"ENSG00000108509"	"chr17"	4967992	4987652	0.0950150416666667	0	0
"CAND1"	2546	11	"ENSG00000111530"	"chr12"	67269281	67319951	0.141249423461538	0	1
"CANT1"	7688	0	"ENSG00000171302"	"chr17"	78991717	79009867	0.1004835908	0	0
"CANX"	3778	0	"ENSG00000127022"	"chr5"	179678628	179730925	0.0791703375909091	0	0
"CAP1"	4080	10	"ENSG00000131236"	"chr1"	40040233	40072649	0.0816342892307692	0	1
"CAPG"	388	8	"ENSG00000042493"	"chr2"	85394748	85418432	0.0913302523529412	0	1
"CAPN1"	225	0	"ENSG00000014216"	"chr11"	65180566	65212006	0.140020390909091	0	0
"CAPN10"	5189	0	"ENSG00000142330"	"chr2"	240586716	240617705	0.0677304664705882	0	0
"CAPN15"	1855	0	"ENSG00000103326"	"chr16"	527717	554636	0.124318566666667	0	0
"CAPN2"	6599	0	"ENSG00000162909"	"chr1"	223701593	223776018	0.117501438888889	0	0
"CAPN7"	4090	0	"ENSG00000131375"	"chr3"	15206152	15252918	0.111044575	0	0
"CAPNS1"	3731	0	"ENSG00000126247"	"chr19"	36139575	36150353	0.1014498914625	0	0
"CAPRIN1"	4461	8	"ENSG00000135387"	"chr11"	34051683	34101156	0.03416559	0	1
"CAPRIN2"	2500	0	"ENSG00000110888"	"chr12"	30709552	30754951	0.0398651501586207	0	0
"CAPS"	2065	0	"ENSG00000105519"	"chr19"	5911707	5915877	0.0377734209354839	0	0
"CAPZA1"	2985	0	"ENSG00000116489"	"chr1"	112619173	112671619	0.0845149448947368	0	0
"CAPZA2"	9484	12	"ENSG00000198898"	"chr7"	116811070	116922049	0.26026043	1	1
"CAPZB"	935	9	"ENSG00000077549"	"chr1"	19338776	19485539	0.0560414060625	0	1
"CARD11"	9364	0	"ENSG00000198286"	"chr7"	2906141	3043945	0.0734691064871795	0	0
"CARD16"	9572	12	"ENSG00000204397"	"chr11"	105041326	105101431	0.0543813155555556	0	1
"CARD19"	6952	12	"ENSG00000165233"	"chr9"	93096218	93113283	0.0640611133333333	0	1
"CARD6"	4170	0	"ENSG00000132357"	"chr5"	40841184	40860175	0.08110477	0	0
"CARD8"	2058	0	"ENSG00000105483"	"chr19"	48180770	48255946	0.0296553045352113	0	0
"CARD9"	8946	12	"ENSG00000187796"	"chr9"	136361903	136373681	0.0397558073333333	0	1
"CARF"	4838	0	"ENSG00000138380"	"chr2"	202912214	202987063	0.113916228571429	0	0
"CARHSP1"	5938	8	"ENSG00000153048"	"chr16"	8852942	8869012	0.118034648785714	0	1
"CARMIL2"	6345	0	"ENSG00000159753"	"chr16"	67644919	67657569	0.111869133333333	0	0
"CARNMT1"	6101	0	"ENSG00000156017"	"chr9"	74981020	75028423	0.167574046666667	0	0
"CARS"	2477	0	"ENSG00000110619"	"chr11"	3000922	3057613	0.138777447	0	0
"CARS2"	4407	8	"ENSG00000134905"	"chr13"	110641412	110713603	0.187706944444444	0	1
"CASC1"	3135	0	"ENSG00000118307"	"chr12"	25108420	25195162	0.13374996375	0	0
"CASC3"	2298	0	"ENSG00000108349"	"chr17"	40140318	40172183	0.164120988888889	0	0
"CASC4"	7135	0	"ENSG00000166734"	"chr15"	44288729	44415758	0.12218556	0	0
"CASD1"	3834	11	"ENSG00000127995"	"chr7"	94509219	94557019	0.141234958391304	0	1
"CASKIN2"	8180	0	"ENSG00000177303"	"chr17"	75500261	75515583	0.105824806363636	0	0
"CASP1"	4759	8	"ENSG00000137752"	"chr11"	105025443	105035250	0.0860953570967742	0	1
"CASP10"	28	8	"ENSG00000003400"	"chr2"	201182881	201229406	0.180760556470588	0	1
"CASP2"	2141	9	"ENSG00000106144"	"chr7"	143288215	143307696	0.181542666666667	0	1
"CASP3"	6841	0	"ENSG00000164305"	"chr4"	184627696	184649509	0.122076380363636	0	0
"CASP4"	9177	0	"ENSG00000196954"	"chr11"	104942866	104969436	0.0947063686451613	0	0
"CASP6"	4900	12	"ENSG00000138794"	"chr4"	109688622	109703583	0.0949812379523809	0	1
"CASP7"	7022	0	"ENSG00000165806"	"chr10"	113679162	113730907	0.148477642292683	0	0
"CASP8"	582	10	"ENSG00000064012"	"chr2"	201233443	201287711	0.12059943873913	0	1
"CASP8AP2"	3139	0	"ENSG00000118412"	"chr6"	89829894	89874436	0.05184105776	0	0
"CASP9"	4233	0	"ENSG00000132906"	"chr1"	15490832	15526534	0.079742208125	0	0
"CAST"	5943	11	"ENSG00000153113"	"chr5"	96525267	96779595	0.0536527687928571	0	1
"CASZ1"	4053	0	"ENSG00000130940"	"chr1"	10636604	10796650	0.14278393625	0	0
"CAT"	3379	0	"ENSG00000121691"	"chr11"	34438925	34472062	0.0828582381388889	0	0
"CAV1"	2127	12	"ENSG00000105974"	"chr7"	116524785	116561184	0.0858645048387097	0	1
"CBFA2T2"	963	8	"ENSG00000078699"	"chr20"	33490075	33650036	0.149704048333333	0	1
"CBFA2T3"	3947	0	"ENSG00000129993"	"chr16"	88874858	88977204	0.111676055862069	0	0
"CBFB"	694	8	"ENSG00000067955"	"chr16"	67029116	67101058	0.12991852	0	1
"CBL"	2464	0	"ENSG00000110395"	"chr11"	119206276	119313926	0.07791521	0	0
"CBLB"	2792	0	"ENSG00000114423"	"chr3"	105655461	105869552	0.0810055131	0	0
"CBLL1"	2118	0	"ENSG00000105879"	"chr7"	107743697	107761667	0.0630220378571429	0	0
"CBLN3"	4988	0	"ENSG00000139899"	"chr14"	24426532	24430954	0.127915498117647	0	0
"CBR1"	6312	10	"ENSG00000159228"	"chr21"	36069941	36073166	0.0445944705	0	1
"CBR4"	5456	12	"ENSG00000145439"	"chr4"	168863770	169010275	0.0728417590476191	0	1
"CBWD1"	7833	12	"ENSG00000172785"	"chr9"	121038	179147	0.12126028972	0	1
"CBWD2"	4623	12	"ENSG00000136682"	"chr2"	113437691	113496189	0.0928975518	0	1
"CBWD5"	5628	0	"ENSG00000147996"	"chr9"	65668805	65734041	0.0596207716666667	0	0
"CBX1"	2313	0	"ENSG00000108468"	"chr17"	48070052	48101521	0.109347287185185	0	0
"CBX3"	3431	9	"ENSG00000122565"	"chr7"	26201162	26213356	0.135285942857143	0	1
"CBX4"	5143	0	"ENSG00000141582"	"chr17"	79833156	79839429	0.101314329333333	0	0
"CBX5"	1344	12	"ENSG00000094916"	"chr12"	54230940	54280133	0.223216246	0	1
"CBX6"	8625	12	"ENSG00000183741"	"chr22"	38861450	38872314	0.1742469125	0	1
"CBX7"	1495	9	"ENSG00000100307"	"chr22"	39120167	39152674	0.0812143126653846	0	1
"CBY1"	1465	0	"ENSG00000100211"	"chr22"	38656636	38673854	0.045884437375	0	0
"CC2D1A"	4145	0	"ENSG00000132024"	"chr19"	13906201	13930879	0.252563583333333	1	0
"CC2D1B"	5998	0	"ENSG00000154222"	"chr1"	52345723	52366193	0.160950625	0	0
"CCAR1"	543	8	"ENSG00000060339"	"chr10"	68721012	68792377	0.081152052	0	1
"CCAR2"	6288	12	"ENSG00000158941"	"chr8"	22604632	22621514	0.07187107	0	1
"CCDC102A"	4503	0	"ENSG00000135736"	"chr16"	57512178	57536599	0.11289255	0	0
"CCDC106"	7906	0	"ENSG00000173581"	"chr19"	55641062	55653161	0.116916124090909	0	0
"CCDC112"	6828	0	"ENSG00000164221"	"chr5"	115267188	115296831	0.102579469444444	0	0
"CCDC113"	1814	11	"ENSG00000103021"	"chr16"	58231157	58283836	0.0538785916	0	1
"CCDC115"	4626	0	"ENSG00000136710"	"chr2"	130338241	130342349	0.160553716666667	0	0
"CCDC117"	6349	0	"ENSG00000159873"	"chr22"	28772674	28789301	0.0985494018181818	0	0
"CCDC12"	6441	0	"ENSG00000160799"	"chr3"	46921726	46982010	0.18057746128125	0	0
"CCDC124"	106	0	"ENSG00000007080"	"chr19"	17933016	17943991	0.0578760635555556	0	0
"CCDC125"	8589	0	"ENSG00000183323"	"chr5"	69280175	69332809	0.19271678125	0	0
"CCDC126"	7474	0	"ENSG00000169193"	"chr7"	23597379	23644708	0.089584	0	0
"CCDC127"	6854	0	"ENSG00000164366"	"chr5"	196871	218215	0.0958528494736842	0	0
"CCDC130"	1993	12	"ENSG00000104957"	"chr19"	13731760	13763296	0.012614923	0	1
"CCDC134"	1457	0	"ENSG00000100147"	"chr22"	41800679	41826299	0.130423325925926	0	0
"CCDC137"	8759	12	"ENSG00000185298"	"chr17"	81666364	81673904	0.0926729237428571	0	1
"CCDC138"	6615	8	"ENSG00000163006"	"chr2"	108786757	108885477	0.138965678235294	0	1
"CCDC14"	8054	0	"ENSG00000175455"	"chr3"	123897305	123961408	0.199095882	0	0
"CCDC142"	4493	0	"ENSG00000135637"	"chr2"	74471986	74483408	0.199957	0	0
"CCDC15"	5741	0	"ENSG00000149548"	"chr11"	124954121	125041489	0.0756711198333333	0	0
"CCDC150"	5377	0	"ENSG00000144395"	"chr2"	196639554	196763490	0.0409423075571429	0	0
"CCDC152"	9473	0	"ENSG00000198865"	"chr5"	42756801	42802360	0.05936302512	0	0
"CCDC157"	8951	0	"ENSG00000187860"	"chr22"	30356635	30378658	0.0624083137096774	0	0
"CCDC159"	8594	0	"ENSG00000183401"	"chr19"	11344684	11354944	0.18227536875	0	0
"CCDC167"	9498	12	"ENSG00000198937"	"chr6"	37482920	37499922	0.116969896888889	0	1
"CCDC171"	6932	12	"ENSG00000164989"	"chr9"	15553086	16061663	0.09412610909375	0	1
"CCDC174"	6027	0	"ENSG00000154781"	"chr3"	14651746	14672659	0.14763844952	0	0
"CCDC18"	3424	0	"ENSG00000122483"	"chr1"	93179919	93278730	0.0751345893333333	0	0
"CCDC186"	7023	8	"ENSG00000165813"	"chr10"	114120862	114174220	0.0435980245454545	0	1
"CCDC191"	6703	0	"ENSG00000163617"	"chr3"	113964137	114056613	0.064707856	0	0
"CCDC25"	5590	0	"ENSG00000147419"	"chr8"	27733311	27772653	0.0712541537037037	0	0
"CCDC28A"	280	0	"ENSG00000024862"	"chr6"	138773509	138793319	0.108008705263158	0	0
"CCDC28B"	6358	0	"ENSG00000160050"	"chr1"	32200386	32205387	0.166109566666667	0	0
"CCDC34"	2426	0	"ENSG00000109881"	"chr11"	27330827	27363868	0.071031411	0	0
"CCDC43"	8386	0	"ENSG00000180329"	"chr17"	44673069	44689779	0.0865341081428571	0	0
"CCDC47"	2331	0	"ENSG00000108588"	"chr17"	63745250	63776351	0.2050302344	0	0
"CCDC50"	5907	0	"ENSG00000152492"	"chr3"	191329077	191398670	0.124223972209032	0	0
"CCDC51"	6788	12	"ENSG00000164051"	"chr3"	48432164	48440456	0.0672224358333333	0	1
"CCDC57"	8107	12	"ENSG00000176155"	"chr17"	82101460	82212830	0.0308346203869565	0	1
"CCDC58"	6370	0	"ENSG00000160124"	"chr3"	122359591	122383231	0.11145852476	0	0
"CCDC59"	4296	0	"ENSG00000133773"	"chr12"	82223681	82358805	0.111600243973333	0	0
"CCDC6"	2282	0	"ENSG00000108091"	"chr10"	59788763	59906656	0.145374765	0	0
"CCDC61"	2002	0	"ENSG00000104983"	"chr19"	45995461	46021318	0.0688727936071429	0	0
"CCDC66"	8392	0	"ENSG00000180376"	"chr3"	56557161	56621818	0.100413882647059	0	0
"CCDC69"	9409	12	"ENSG00000198624"	"chr5"	151181052	151224145	0.050267501476	0	1
"CCDC71L"	9998	0	"ENSG00000253276"	"chr7"	106656765	106660996	0.136331772727273	0	0
"CCDC73"	8886	0	"ENSG00000186714"	"chr11"	32602246	32794658	0.0446329405357143	0	0
"CCDC74A"	6619	12	"ENSG00000163040"	"chr2"	131527675	131533666	0.132167405	0	1
"CCDC77"	3302	8	"ENSG00000120647"	"chr12"	389273	442645	0.103843925217391	0	1
"CCDC82"	5718	0	"ENSG00000149231"	"chr11"	96352769	96389923	0.02077944	0	0
"CCDC84"	8843	0	"ENSG00000186166"	"chr11"	118998142	119015791	0.0719673479166667	0	0
"CCDC85B"	8071	10	"ENSG00000175602"	"chr11"	65890112	65891635	0.1750540325	0	1
"CCDC86"	2449	12	"ENSG00000110104"	"chr11"	60842071	60851081	0.0591731746756757	0	1
"CCDC88A"	2877	0	"ENSG00000115355"	"chr2"	55287842	55419921	0.140107509	0	0
"CCDC88B"	7325	12	"ENSG00000168071"	"chr11"	64340223	64357534	0.170850136894737	0	1
"CCDC88C"	229	0	"ENSG00000015133"	"chr14"	91271323	91417844	0.113838884897436	0	0
"CCDC9"	2035	12	"ENSG00000105321"	"chr19"	47255980	47271953	0.0401913065	0	1
"CCDC90B"	4736	0	"ENSG00000137500"	"chr11"	83259097	83286407	0.0760922406315789	0	0
"CCDC91"	3468	0	"ENSG00000123106"	"chr12"	28133249	28581511	0.110281183277778	0	0
"CCDC92"	3185	11	"ENSG00000119242"	"chr12"	123918660	123972831	0.0885832538181818	0	1
"CCDC93"	3654	0	"ENSG00000125633"	"chr2"	117915478	118014133	0.0924210019259259	0	0
"CCDC94"	2029	0	"ENSG00000105248"	"chr19"	4247079	4269090	0.164332670828571	0	0
"CCDC97"	5170	0	"ENSG00000142039"	"chr19"	41310189	41324883	0.110895833	0	0
"CCHCR1"	9592	0	"ENSG00000204536"	"chr6"	31142439	31158238	0.0193776053880597	0	0
"CCL17"	1807	12	"ENSG00000102970"	"chr16"	57404767	57416062	0.116206502727273	0	1
"CCL22"	1805	12	"ENSG00000102962"	"chr16"	57358772	57366190	0.171785344961538	0	1
"CCL28"	5862	0	"ENSG00000151882"	"chr5"	43376645	43412391	0.16620305	0	0
"CCL3"	10143	12	"ENSG00000277632"	"chr17"	36088256	36090169	0.0370327875609756	0	1
"CCL3L3"	10132	12	"ENSG00000276085"	"chr17"	36194869	36196758	0.125899314615385	0	1
"CCL4"	10119	0	"ENSG00000275302"	"chr17"	36103590	36105621	0.113127814540845	0	0
"CCL4L2"	10131	12	"ENSG00000276070"	"chr17"	36210924	36212878	0.132484208	0	1
"CCL5"	10092	12	"ENSG00000271503"	"chr17"	35871491	35880793	0.103712341666667	0	1
"CCM2"	4590	12	"ENSG00000136280"	"chr7"	44999475	45076469	0.124992277391304	0	1
"CCNA2"	5450	12	"ENSG00000145386"	"chr4"	121816444	121823933	0.156372755555556	0	1
"CCNB1"	4321	10	"ENSG00000134057"	"chr5"	69167010	69178245	0.0712988615384615	0	1
"CCNB1IP1"	1594	0	"ENSG00000100814"	"chr14"	20311368	20333312	0.131634892083333	0	0
"CCNB2"	6196	12	"ENSG00000157456"	"chr15"	59105078	59125045	0.1094677384375	0	1
"CCNC"	2631	0	"ENSG00000112237"	"chr6"	99542380	99568973	0.1144845956	0	0
"CCND1"	2448	0	"ENSG00000110092"	"chr11"	69641087	69654474	0.121677025	0	0
"CCND2"	3173	0	"ENSG00000118971"	"chr12"	4273772	4305350	0.06299891	0	0
"CCND3"	2660	12	"ENSG00000112576"	"chr6"	41934933	42050357	0.0967658448	0	1
"CCNDBP1"	7169	0	"ENSG00000166946"	"chr15"	43185118	43197176	0.162031225	0	0
"CCNE1"	2015	0	"ENSG00000105173"	"chr19"	29811898	29824308	0.0784217611111111	0	0
"CCNF"	6510	12	"ENSG00000162063"	"chr16"	2429394	2458854	0.142874554545455	0	1
"CCNG1"	2714	0	"ENSG00000113328"	"chr5"	163437569	163446151	0.106253357142857	0	0
"CCNG2"	4892	8	"ENSG00000138764"	"chr4"	77157151	77433388	0.0862573252380952	0	1
"CCNH"	4369	0	"ENSG00000134480"	"chr5"	87391494	87413019	0.08046941	0	0
"CCNI"	3163	0	"ENSG00000118816"	"chr4"	77047158	77076005	0.173709809090909	0	0
"CCNI2"	9627	12	"ENSG00000205089"	"chr5"	132747445	132754403	0.211667875	0	1
"CCNJ"	2229	0	"ENSG00000107443"	"chr10"	96043394	96060870	0.0833411925	0	0
"CCNL1"	6712	0	"ENSG00000163660"	"chr3"	157146508	157160760	0.09481569848	0	0
"CCNL2"	9824	8	"ENSG00000221978"	"chr1"	1385711	1399328	0.119047653333333	0	1
"CCNT1"	3913	0	"ENSG00000129315"	"chr12"	48688458	48716998	0.0533239296190476	0	0
"CCNT2"	1035	0	"ENSG00000082258"	"chr2"	134918235	134959342	0.0505257635	0	0
"CCNY"	2284	12	"ENSG00000108100"	"chr10"	35247025	35572669	0.042823638	0	1
"CCNYL1"	6647	12	"ENSG00000163249"	"chr2"	207711540	207761839	0.204687664705882	0	1
"CCP110"	1881	5	"ENSG00000103540"	"chr16"	19523811	19553408	0.0823586227777778	0	1
"CCPG1"	10049	12	"ENSG00000260916"	"chr15"	55340032	55408510	0.231124114814815	0	1
"CCR1"	6739	12	"ENSG00000163823"	"chr3"	46201709	46208396	0.108524741176471	0	1
"CCR10"	8676	8	"ENSG00000184451"	"chr17"	42678889	42683917	0.111279608	0	1
"CCR7"	3737	12	"ENSG00000126353"	"chr17"	40553769	40565472	0.177897184	0	1
"CCS"	7941	10	"ENSG00000173992"	"chr11"	66592821	66606019	0.20932775	0	1
"CCSAP"	6010	0	"ENSG00000154429"	"chr1"	229321005	229343294	0.104671340769231	0	0
"CCSER2"	2248	8	"ENSG00000107771"	"chr10"	84328586	84518521	0.17288794	0	1
"CCT2"	7075	8	"ENSG00000166226"	"chr12"	69585334	69601570	0.102568642173913	0	1
"CCT3"	6675	12	"ENSG00000163468"	"chr1"	156308968	156367873	0.0483541896111111	0	1
"CCT4"	2890	12	"ENSG00000115484"	"chr2"	61868089	61888804	0.0643481378421053	0	1
"CCT5"	5784	12	"ENSG00000150753"	"chr5"	10249921	10266412	0.120963281304348	0	1
"CCT6A"	5543	12	"ENSG00000146731"	"chr7"	56051630	56063989	0.0462538666666667	0	1
"CCT7"	4491	11	"ENSG00000135624"	"chr2"	73233420	73253021	0.147354660086957	0	1
"CCT8"	6116	12	"ENSG00000156261"	"chr21"	29055805	29073797	0.0986075086875	0	1
"CCZ1"	3437	0	"ENSG00000122674"	"chr7"	5898725	5926550	0.0573650654915254	0	0
"CD109"	6138	8	"ENSG00000156535"	"chr6"	73695785	73828316	0.0483426	0	1
"CD151"	8214	12	"ENSG00000177697"	"chr11"	832843	839831	0.0410185830952381	0	1
"CD163L1"	8210	12	"ENSG00000177675"	"chr12"	7346685	7479897	0.137847472307692	0	1
"CD164"	4482	9	"ENSG00000135535"	"chr6"	109366514	109382457	0.122352137333333	0	1
"CD180"	4323	12	"ENSG00000134061"	"chr5"	67179613	67196799	0.13624708875	0	1
"CD19"	8188	10	"ENSG00000177455"	"chr16"	28931939	28939346	0.1616347625	0	1
"CD200"	1303	0	"ENSG00000091972"	"chr3"	112332347	112362812	0.0424832355	0	0
"CD200R1"	6699	12	"ENSG00000163606"	"chr3"	112921209	112975122	0.10499655124	0	1
"CD22"	200	12	"ENSG00000012124"	"chr19"	35319261	35347355	0.0929542994545455	0	1
"CD226"	5782	12	"ENSG00000150637"	"chr18"	69831158	69961803	0.1567597	0	1
